name	taxonomy_id	taxonomy_lvl	2827.bracken_num	2827.bracken_frac	2828.bracken_num	2828.bracken_frac	2830.bracken_num	2830.bracken_frac	2831.bracken_num	2831.bracken_frac	2832.bracken_num	2832.bracken_frac	2833.bracken_num	2833.bracken_frac	2834.bracken_num	2834.bracken_frac	2836.bracken_num	2836.bracken_frac	2837.bracken_num	2837.bracken_frac	2839.bracken_num	2839.bracken_frac	2840.bracken_num	2840.bracken_frac	2841.bracken_num	2841.bracken_frac	2842.bracken_num	2842.bracken_frac	2845.bracken_num	2845.bracken_frac	2846.bracken_num	2846.bracken_frac	2847.bracken_num	2847.bracken_frac	2850.bracken_num	2850.bracken_frac	2853.bracken_num	2853.bracken_frac	2854.bracken_num	2854.bracken_frac	2855.bracken_num	2855.bracken_frac	2857.bracken_num	2857.bracken_frac	2858.bracken_num	2858.bracken_frac	2859.bracken_num	2859.bracken_frac	2862.bracken_num	2862.bracken_frac	2866.bracken_num	2866.bracken_frac	2867.bracken_num	2867.bracken_frac	2870.bracken_num	2870.bracken_frac	2871.bracken_num	2871.bracken_frac	2872.bracken_num	2872.bracken_frac
Negativicutes	909932	C	422541	0.65713	169459	0.19074	153521	0.18493	74045	0.08711	31419	0.03382	107344	0.07419	125566	0.16574	134479	0.13098	147613	0.22620	69093	0.11210	87881	0.12955	51163	0.06364	83466	0.12073	96204	0.09222	200588	0.26830	108918	0.19573	349252	0.33397	195599	0.24554	147500	0.16072	40721	0.03124	90863	0.10505	272471	0.37437	523303	0.45234	351119	0.46046	91808	0.14645	94998	0.11566	77905	0.12500	75832	0.08278	270200	0.32563
Bacilli	91061	C	45864	0.07133	547876	0.61667	359239	0.43273	426798	0.50210	460223	0.49535	412308	0.28497	413751	0.54614	230686	0.22468	215651	0.33046	202197	0.32806	444782	0.65568	593529	0.73822	388623	0.56211	488988	0.46874	40161	0.05372	292833	0.52624	465126	0.44477	190137	0.23869	258527	0.28170	1007496	0.77298	544933	0.63003	18807	0.02584	392206	0.33902	170975	0.22422	233968	0.37322	461633	0.56205	422195	0.67740	645018	0.70412	278603	0.33575
Clostridia	186801	C	32963	0.05126	74171	0.08348	142135	0.17121	121770	0.14326	201318	0.21668	627865	0.43395	145756	0.19239	271513	0.26445	163272	0.25020	230858	0.37456	69032	0.10176	84382	0.10495	160209	0.23173	183376	0.17578	217377	0.29076	64975	0.11676	161321	0.15426	219782	0.27590	370385	0.40358	151420	0.11617	127225	0.14709	172852	0.23750	148540	0.12840	127028	0.16659	130594	0.20832	103904	0.12651	74696	0.11985	133791	0.14605	39023	0.04703
Erysipelotrichia	526524	C	330	0.00051	599	0.00067	1201	0.00145	736	0.00087	1236	0.00133	2772	0.00192	676	0.00089	860	0.00084	521	0.00080	945	0.00153	447	0.00066	738	0.00092	651	0.00094	1014	0.00097	2326	0.00311	653	0.00117	705	0.00067	789	0.00099	4666	0.00508	1916	0.00147	1268	0.00147	1645	0.00226	947	0.00082	601	0.00079	1219	0.00194	779	0.00095	977	0.00157	783	0.00085	742	0.00089
Tissierellia	1737404	C	146	0.00023	158	0.00018	345	0.00042	316	0.00037	1015	0.00109	1009	0.00070	398	0.00053	303	0.00030	202	0.00031	410	0.00067	313	0.00046	372	0.00046	295	0.00043	835	0.00080	224	0.00030	201	0.00036	262	0.00025	245	0.00031	614	0.00067	771	0.00059	1245	0.00144	180	0.00025	268	0.00023	68	0.00009	336	0.00054	371	0.00045	623	0.00100	251	0.00027	259	0.00031
Actinomycetes	1760	C	6249	0.00972	4722	0.00531	8647	0.01042	10050	0.01182	10041	0.01081	14017	0.00969	4411	0.00582	8204	0.00799	4515	0.00692	5799	0.00941	7304	0.01077	9723	0.01209	4317	0.00624	8074	0.00774	3028	0.00405	7933	0.01426	8845	0.00846	4795	0.00602	6130	0.00668	16651	0.01278	15802	0.01827	4163	0.00572	6488	0.00561	2181	0.00286	5287	0.00843	8590	0.01046	8016	0.01286	7961	0.00869	7909	0.00953
Coriobacteriia	84998	C	2094	0.00326	1171	0.00132	6126	0.00738	2536	0.00298	1630	0.00175	4580	0.00317	1240	0.00164	2103	0.00205	1085	0.00166	1333	0.00216	1539	0.00227	1023	0.00127	1463	0.00212	1787	0.00171	12480	0.01669	1973	0.00355	713	0.00068	994	0.00125	2740	0.00299	2098	0.00161	2492	0.00288	28896	0.03970	1485	0.00128	4753	0.00623	1133	0.00181	976	0.00119	988	0.00159	1028	0.00112	6676	0.00805
Thermoleophilia	1497346	C	102	0.00016	38	0.00004	70	0.00008	40	0.00005	102	0.00011	131	0.00009	74	0.00010	91	0.00009	51	0.00008	81	0.00013	45	0.00007	64	0.00008	34	0.00005	64	0.00006	26	0.00003	54	0.00010	27	0.00003	58	0.00007	87	0.00009	59	0.00005	208	0.00024	50	0.00007	46	0.00004	14	0.00002	88	0.00014	59	0.00007	107	0.00017	43	0.00005	48	0.00006
Rubrobacteria	84995	C	66	0.00010	28	0.00003	63	0.00008	79	0.00009	168	0.00018	99	0.00007	34	0.00004	75	0.00007	19	0.00003	50	0.00008	38	0.00006	38	0.00005	28	0.00004	59	0.00006	63	0.00008	19	0.00003	48	0.00005	48	0.00006	27	0.00003	70	0.00005	86	0.00010	52	0.00007	101	0.00009	17	0.00002	26	0.00004	62	0.00008	59	0.00009	124	0.00014	46	0.00006
Acidimicrobiia	84992	C	43	0.00007	35	0.00004	58	0.00007	27	0.00003	57	0.00006	59	0.00004	31	0.00004	44	0.00004	0	0.00000	37	0.00006	30	0.00004	60	0.00007	33	0.00005	54	0.00005	0	0.00000	21	0.00004	43	0.00004	53	0.00007	15	0.00002	92	0.00007	96	0.00011	18	0.00002	37	0.00003	10	0.00001	27	0.00004	47	0.00006	56	0.00009	56	0.00006	42	0.00005
