name	taxonomy_id	taxonomy_lvl	2827.bracken_num	2827.bracken_frac	2828.bracken_num	2828.bracken_frac	2830.bracken_num	2830.bracken_frac	2831.bracken_num	2831.bracken_frac	2832.bracken_num	2832.bracken_frac	2833.bracken_num	2833.bracken_frac	2834.bracken_num	2834.bracken_frac	2836.bracken_num	2836.bracken_frac	2837.bracken_num	2837.bracken_frac	2839.bracken_num	2839.bracken_frac	2840.bracken_num	2840.bracken_frac	2841.bracken_num	2841.bracken_frac	2842.bracken_num	2842.bracken_frac	2845.bracken_num	2845.bracken_frac	2846.bracken_num	2846.bracken_frac	2847.bracken_num	2847.bracken_frac	2850.bracken_num	2850.bracken_frac	2853.bracken_num	2853.bracken_frac	2854.bracken_num	2854.bracken_frac	2855.bracken_num	2855.bracken_frac	2857.bracken_num	2857.bracken_frac	2858.bracken_num	2858.bracken_frac	2859.bracken_num	2859.bracken_frac	2862.bracken_num	2862.bracken_frac	2866.bracken_num	2866.bracken_frac	2867.bracken_num	2867.bracken_frac	2870.bracken_num	2870.bracken_frac	2871.bracken_num	2871.bracken_frac	2872.bracken_num	2872.bracken_frac
Selenomonadaceae	1843491	F	204937	0.31914	27315	0.03079	56355	0.06799	44131	0.05202	9204	0.00992	34682	0.02399	18256	0.02413	18665	0.01820	25790	0.03957	22541	0.03664	16602	0.02450	7689	0.00957	17933	0.02597	29892	0.02870	96450	0.12916	26299	0.04733	31263	0.02991	95935	0.12056	38363	0.04185	9528	0.00732	26074	0.03018	73579	0.10132	181866	0.15759	134708	0.17685	24165	0.03860	43918	0.05353	30919	0.04968	44576	0.04870	116381	0.14040
Sporomusaceae	1843490	F	970	0.00151	123	0.00014	337	0.00041	214	0.00025	132	0.00014	232	0.00016	128	0.00017	159	0.00015	44	0.00007	124	0.00020	145	0.00021	157	0.00020	75	0.00011	134	0.00013	349	0.00047	72	0.00013	171	0.00016	357	0.00045	200	0.00022	125	0.00010	291	0.00034	310	0.00043	490	0.00042	420	0.00055	117	0.00019	193	0.00024	256	0.00041	145	0.00016	338	0.00041
Veillonellaceae	31977	F	199848	0.31121	136506	0.15386	91291	0.11014	25700	0.03029	9667	0.01042	18451	0.01276	103238	0.13646	112222	0.10940	115400	0.17707	30124	0.04896	68682	0.10136	28337	0.03528	59232	0.08579	45274	0.04347	91899	0.12306	81082	0.14592	304192	0.29105	81498	0.10241	91629	0.09996	26471	0.02032	46145	0.05341	171797	0.23656	320326	0.27758	208866	0.27420	61352	0.09801	26965	0.03287	39919	0.06414	15616	0.01706	129470	0.15619
Acidaminococcaceae	909930	F	16789	0.02614	5514	0.00621	5536	0.00668	4000	0.00471	12415	0.01338	53979	0.03734	3942	0.00521	3432	0.00335	6378	0.00979	16302	0.02650	2451	0.00362	14979	0.01865	6224	0.00901	20907	0.02007	11889	0.01592	1463	0.00263	13625	0.01304	17808	0.02238	17308	0.01888	4596	0.00353	18352	0.02124	26792	0.03689	20649	0.01789	7124	0.00935	6172	0.00986	23920	0.02916	6812	0.01094	15494	0.01693	24010	0.02897
Lactobacillaceae	33958	F	39572	0.06162	535993	0.60412	342278	0.41295	397884	0.46898	430195	0.46360	381036	0.26360	395872	0.52326	208373	0.20313	208603	0.32009	184083	0.29921	423527	0.62504	553557	0.68925	363657	0.52669	442455	0.42478	35852	0.04801	279838	0.50362	427647	0.40917	179487	0.22555	217542	0.23731	940244	0.72190	501196	0.58014	14161	0.01950	367764	0.31868	165516	0.21729	221937	0.35455	424843	0.51786	377917	0.60718	612759	0.66951	260471	0.31423
Streptococcaceae	1300	F	332	0.00052	1625	0.00183	2856	0.00345	13170	0.01552	4338	0.00467	4692	0.00325	6730	0.00890	6611	0.00644	1475	0.00226	2828	0.00460	3486	0.00514	5361	0.00668	11563	0.01675	27473	0.02638	753	0.00101	2199	0.00396	3937	0.00377	1953	0.00245	30646	0.03343	7943	0.00610	6220	0.00720	906	0.00125	4233	0.00367	1170	0.00154	2887	0.00461	15203	0.01853	5036	0.00809	4796	0.00524	2183	0.00263
Enterococcaceae	81852	F	175	0.00027	791	0.00089	1196	0.00144	1151	0.00136	2847	0.00307	2145	0.00148	996	0.00132	1096	0.00107	505	0.00077	1567	0.00255	1570	0.00232	4060	0.00506	1202	0.00174	1416	0.00136	282	0.00038	1076	0.00194	3445	0.00330	580	0.00073	847	0.00092	5677	0.00436	4017	0.00465	320	0.00044	2321	0.00201	319	0.00042	1088	0.00174	2040	0.00249	3392	0.00545	2549	0.00279	1571	0.00190
Carnobacteriaceae	186828	F	102	0.00016	3353	0.00378	1570	0.00189	3485	0.00411	547	0.00059	1464	0.00101	1250	0.00165	2597	0.00253	852	0.00131	2765	0.00449	4832	0.00713	6297	0.00784	3346	0.00485	2607	0.00250	83	0.00011	1178	0.00212	2930	0.00280	1294	0.00163	1939	0.00212	12626	0.00969	3553	0.00411	197	0.00027	333	0.00029	487	0.00064	545	0.00087	2963	0.00361	9627	0.01547	7293	0.00797	3396	0.00410
Aerococcaceae	186827	F	13	0.00002	165	0.00019	171	0.00021	206	0.00024	325	0.00035	318	0.00022	151	0.00020	136	0.00013	71	0.00011	162	0.00026	258	0.00038	474	0.00059	172	0.00025	317	0.00030	40	0.00005	178	0.00032	476	0.00046	102	0.00013	181	0.00020	965	0.00074	553	0.00064	37	0.00005	393	0.00034	38	0.00005	153	0.00024	325	0.00040	473	0.00076	367	0.00040	166	0.00020
Paenibacillaceae	186822	F	1343	0.00209	508	0.00057	1430	0.00173	1437	0.00169	2477	0.00267	4069	0.00281	1741	0.00230	1566	0.00153	476	0.00073	1991	0.00324	1045	0.00154	1722	0.00214	882	0.00128	2033	0.00195	630	0.00084	654	0.00118	1606	0.00154	985	0.00124	970	0.00106	2999	0.00230	2579	0.00299	959	0.00132	1670	0.00145	446	0.00059	825	0.00132	1556	0.00190	1860	0.00299	1727	0.00189	1277	0.00154
Bacillaceae	186817	F	2634	0.00410	3798	0.00428	7051	0.00851	6625	0.00781	13679	0.01474	13551	0.00937	4772	0.00631	7896	0.00770	2494	0.00383	6300	0.01024	7038	0.01039	14385	0.01791	5263	0.00762	8405	0.00807	1808	0.00242	5296	0.00953	17900	0.01713	3896	0.00490	4248	0.00463	25400	0.01950	19304	0.02234	1563	0.00215	11342	0.00983	2137	0.00281	4375	0.00699	10138	0.01236	17263	0.02774	9546	0.01043	7063	0.00852
Staphylococcaceae	90964	F	972	0.00151	1040	0.00117	1743	0.00210	1570	0.00185	3068	0.00331	2509	0.00174	1397	0.00185	1657	0.00162	704	0.00108	1634	0.00266	1924	0.00284	4487	0.00559	1434	0.00208	1956	0.00188	434	0.00058	1496	0.00269	4923	0.00471	1173	0.00147	1414	0.00154	7429	0.00570	4336	0.00502	389	0.00054	2813	0.00244	552	0.00072	1126	0.00180	2638	0.00322	4395	0.00706	4277	0.00467	1538	0.00186
Alicyclobacillaceae	186823	F	195	0.00030	57	0.00006	128	0.00015	256	0.00030	838	0.00090	274	0.00019	78	0.00010	105	0.00010	43	0.00007	98	0.00016	59	0.00009	173	0.00022	105	0.00015	728	0.00070	62	0.00008	53	0.00010	120	0.00011	133	0.00017	84	0.00009	296	0.00023	306	0.00035	73	0.00010	169	0.00015	50	0.00007	174	0.00028	421	0.00051	140	0.00022	150	0.00016	164	0.00020
