name	taxonomy_id	taxonomy_lvl	2827.bracken_num	2827.bracken_frac	2828.bracken_num	2828.bracken_frac	2830.bracken_num	2830.bracken_frac	2831.bracken_num	2831.bracken_frac	2832.bracken_num	2832.bracken_frac	2833.bracken_num	2833.bracken_frac	2834.bracken_num	2834.bracken_frac	2836.bracken_num	2836.bracken_frac	2837.bracken_num	2837.bracken_frac	2839.bracken_num	2839.bracken_frac	2840.bracken_num	2840.bracken_frac	2841.bracken_num	2841.bracken_frac	2842.bracken_num	2842.bracken_frac	2845.bracken_num	2845.bracken_frac	2846.bracken_num	2846.bracken_frac	2847.bracken_num	2847.bracken_frac	2850.bracken_num	2850.bracken_frac	2853.bracken_num	2853.bracken_frac	2854.bracken_num	2854.bracken_frac	2855.bracken_num	2855.bracken_frac	2857.bracken_num	2857.bracken_frac	2858.bracken_num	2858.bracken_frac	2859.bracken_num	2859.bracken_frac	2862.bracken_num	2862.bracken_frac	2866.bracken_num	2866.bracken_frac	2867.bracken_num	2867.bracken_frac	2870.bracken_num	2870.bracken_frac	2871.bracken_num	2871.bracken_frac	2872.bracken_num	2872.bracken_frac
Selenomonas	970	G	194681	0.30598	24994	0.02821	52749	0.06392	42487	0.05021	8059	0.00872	32955	0.02287	17257	0.02289	17525	0.01718	23826	0.03671	20442	0.03340	15695	0.02322	6147	0.00767	16299	0.02369	24821	0.02391	86124	0.11589	23324	0.04209	27777	0.02663	90704	0.11453	33606	0.03676	8653	0.00665	23791	0.02761	65444	0.09046	155950	0.13544	130021	0.17147	22176	0.03557	37394	0.04573	27282	0.04394	35917	0.03933	112440	0.13624
Megamonas	158846	G	4031	0.00634	1091	0.00123	1164	0.00141	723	0.00085	611	0.00066	346	0.00024	286	0.00038	508	0.00050	856	0.00132	296	0.00048	321	0.00047	682	0.00085	900	0.00131	2434	0.00234	3903	0.00525	2084	0.00376	1738	0.00167	779	0.00098	1900	0.00208	200	0.00015	1204	0.00140	2632	0.00364	9512	0.00826	2087	0.00275	1072	0.00172	2317	0.00283	1341	0.00216	2693	0.00295	956	0.00116
Pectinatus	864	G	2985	0.00469	110	0.00012	1448	0.00175	271	0.00032	86	0.00009	726	0.00050	290	0.00038	202	0.00020	275	0.00042	886	0.00145	320	0.00047	33	0.00004	274	0.00040	155	0.00015	313	0.00042	122	0.00022	213	0.00020	3101	0.00392	177	0.00019	149	0.00011	226	0.00026	332	0.00046	268	0.00023	971	0.00128	282	0.00045	615	0.00075	162	0.00026	51	0.00006	1716	0.00208
Selenobaculum	3074372	G	351	0.00055	781	0.00088	123	0.00015	88	0.00010	329	0.00036	96	0.00007	53	0.00007	161	0.00016	545	0.00084	300	0.00049	75	0.00011	649	0.00081	178	0.00026	2074	0.00200	5024	0.00676	401	0.00072	809	0.00078	82	0.00010	2013	0.00220	131	0.00010	507	0.00059	4263	0.00589	13196	0.01146	284	0.00037	373	0.00060	2760	0.00338	1609	0.00259	5427	0.00594	71	0.00009
Sporomusa	2375	G	925	0.00145	108	0.00012	320	0.00039	196	0.00023	89	0.00010	181	0.00013	111	0.00015	135	0.00013	42	0.00006	97	0.00016	136	0.00020	127	0.00016	50	0.00007	102	0.00010	325	0.00044	59	0.00011	160	0.00015	335	0.00042	176	0.00019	101	0.00008	265	0.00031	284	0.00039	438	0.00038	396	0.00052	106	0.00017	177	0.00022	220	0.00035	98	0.00011	292	0.00035
Pelosinus	365348	G	34	0.00005	0	0.00000	11	0.00001	14	0.00002	29	0.00003	33	0.00002	10	0.00001	15	0.00001	0	0.00000	21	0.00003	0	0.00000	13	0.00002	13	0.00002	22	0.00002	22	0.00003	10	0.00002	0	0.00000	14	0.00002	19	0.00002	12	0.00001	15	0.00002	24	0.00003	43	0.00004	23	0.00003	0	0.00000	13	0.00002	20	0.00003	39	0.00004	40	0.00005
Methylomusa	2093783	G	10	0.00002	0	0.00000	0	0.00000	0	0.00000	14	0.00002	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00002	12	0.00002	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00001	11	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00002	0	0.00000	0	0.00000
Megasphaera	906	G	99842	0.15692	118639	0.13389	57138	0.06924	15852	0.01873	6322	0.00684	15120	0.01049	81518	0.10813	69930	0.06856	87461	0.13476	20537	0.03355	53892	0.07972	27142	0.03388	48352	0.07027	29384	0.02830	63033	0.08482	60706	0.10954	294974	0.28283	59729	0.07542	49271	0.05390	10548	0.00811	40591	0.04711	86750	0.11992	264081	0.22935	173410	0.22869	31654	0.05077	20860	0.02551	29937	0.04822	5505	0.00603	87756	0.10633
Dialister	39948	G	99884	0.15699	17812	0.02010	34065	0.04128	9775	0.01155	3294	0.00356	3256	0.00226	21669	0.02874	42232	0.04141	27871	0.04294	9560	0.01562	14759	0.02183	1151	0.00144	10842	0.01576	15806	0.01522	28747	0.03868	20340	0.03670	9107	0.00873	21728	0.02743	42290	0.04626	15888	0.01222	5498	0.00638	84897	0.11735	56021	0.04865	35368	0.04664	29647	0.04755	6053	0.00740	9931	0.01600	10022	0.01098	41646	0.05046
Veillonella	29465	G	130	0.00020	54	0.00006	88	0.00011	72	0.00009	50	0.00005	73	0.00005	50	0.00007	60	0.00006	68	0.00010	27	0.00004	0	0.00000	43	0.00005	37	0.00005	82	0.00008	119	0.00016	0	0.00000	111	0.00011	41	0.00005	68	0.00007	34	0.00003	55	0.00006	142	0.00020	199	0.00017	89	0.00012	52	0.00008	52	0.00006	49	0.00008	89	0.00010	70	0.00008
Acidaminococcus	904	G	15955	0.02508	4526	0.00511	4361	0.00528	1691	0.00200	1046	0.00113	7267	0.00504	2803	0.00372	2297	0.00225	858	0.00132	7741	0.01265	2276	0.00337	857	0.00107	934	0.00136	1575	0.00152	6077	0.00818	734	0.00132	3492	0.00335	7022	0.00887	4339	0.00475	853	0.00066	922	0.00107	20361	0.02815	3504	0.00304	6880	0.00907	1228	0.00197	6885	0.00842	941	0.00152	3141	0.00344	23811	0.02885
Phascolarctobacterium	33024	G	834	0.00131	988	0.00112	1175	0.00142	2308	0.00273	11368	0.01230	46711	0.03242	1139	0.00151	1135	0.00111	5519	0.00850	8561	0.01399	175	0.00026	14121	0.01763	5290	0.00769	19329	0.01862	5811	0.00782	728	0.00131	10132	0.00971	10786	0.01362	12968	0.01419	3742	0.00288	17429	0.02023	6430	0.00889	17142	0.01489	243	0.00032	4944	0.00793	17035	0.02083	5869	0.00945	11458	0.01255	198	0.00024
Lactobacillus	1578	G	25117	0.03948	511673	0.57747	313302	0.37966	376462	0.44487	411980	0.44585	359921	0.24982	313273	0.41555	200746	0.19682	175490	0.27039	169601	0.27707	413861	0.61224	535902	0.66902	323015	0.46943	424715	0.40907	31542	0.04244	271588	0.49007	389948	0.37390	160007	0.20203	183354	0.20057	916447	0.70466	462275	0.53653	12260	0.01695	342314	0.29729	156729	0.20669	209696	0.33634	406044	0.49654	338199	0.54472	572361	0.62680	233382	0.28279
