name	taxonomy_id	taxonomy_lvl	2827.bracken_num	2827.bracken_frac	2828.bracken_num	2828.bracken_frac	2830.bracken_num	2830.bracken_frac	2831.bracken_num	2831.bracken_frac	2832.bracken_num	2832.bracken_frac	2833.bracken_num	2833.bracken_frac	2834.bracken_num	2834.bracken_frac	2836.bracken_num	2836.bracken_frac	2837.bracken_num	2837.bracken_frac	2839.bracken_num	2839.bracken_frac	2840.bracken_num	2840.bracken_frac	2841.bracken_num	2841.bracken_frac	2842.bracken_num	2842.bracken_frac	2845.bracken_num	2845.bracken_frac	2846.bracken_num	2846.bracken_frac	2847.bracken_num	2847.bracken_frac	2850.bracken_num	2850.bracken_frac	2853.bracken_num	2853.bracken_frac	2854.bracken_num	2854.bracken_frac	2855.bracken_num	2855.bracken_frac	2857.bracken_num	2857.bracken_frac	2858.bracken_num	2858.bracken_frac	2859.bracken_num	2859.bracken_frac	2862.bracken_num	2862.bracken_frac	2866.bracken_num	2866.bracken_frac	2867.bracken_num	2867.bracken_frac	2870.bracken_num	2870.bracken_frac	2871.bracken_num	2871.bracken_frac	2872.bracken_num	2872.bracken_frac
Selenomonadales	909929	O	205907	0.32034	27439	0.03091	56693	0.06831	44345	0.05222	9336	0.01005	34914	0.02414	18385	0.02428	18824	0.01834	25835	0.03960	22666	0.03680	16748	0.02470	7847	0.00976	18009	0.02606	30026	0.02879	96800	0.12953	26372	0.04743	31435	0.03007	96292	0.12090	38563	0.04203	9653	0.00741	26366	0.03049	73889	0.10157	182357	0.15794	135128	0.17724	24282	0.03875	44112	0.05373	31175	0.05005	44721	0.04883	116720	0.14071
Veillonellales	1843489	O	199845	0.31091	136505	0.15379	91291	0.11000	25699	0.03027	9666	0.01041	18451	0.01276	103238	0.13633	112222	0.10933	115400	0.17689	30124	0.04890	68681	0.10128	28336	0.03526	59232	0.08571	45272	0.04341	91899	0.12297	81082	0.14582	304192	0.29095	81498	0.10233	91628	0.09986	26471	0.02031	46144	0.05337	171790	0.23614	320325	0.27743	208865	0.27396	61352	0.09791	26965	0.03284	39917	0.06408	15616	0.01705	129470	0.15608
Acidaminococcales	1843488	O	16788	0.02612	5514	0.00621	5536	0.00667	4000	0.00471	12415	0.01337	53978	0.03732	3942	0.00521	3432	0.00334	6378	0.00978	16302	0.02646	2451	0.00361	14979	0.01864	6224	0.00901	20904	0.02004	11889	0.01591	1463	0.00263	13625	0.01303	17808	0.02236	17308	0.01886	4596	0.00353	18352	0.02123	26791	0.03683	20649	0.01788	7124	0.00934	6172	0.00985	23920	0.02913	6811	0.01093	15494	0.01692	24010	0.02894
Lactobacillales	186826	O	40196	0.06253	541927	0.61053	348071	0.41941	415896	0.48980	438253	0.47193	389652	0.26939	405001	0.53481	218814	0.21318	211508	0.32421	191405	0.31073	433674	0.63953	569748	0.70895	379941	0.54979	474256	0.45473	37012	0.04953	284470	0.51158	438437	0.41935	183418	0.23030	251154	0.27372	967452	0.74243	515538	0.59625	15621	0.02147	375044	0.32482	167533	0.21974	226611	0.36163	445374	0.54244	396433	0.63641	627764	0.68547	267788	0.32283
Bacillales	1385	O	5667	0.00882	5948	0.00670	11167	0.01346	10901	0.01284	21970	0.02366	22655	0.01566	8750	0.01155	11872	0.01157	4143	0.00635	10791	0.01752	11108	0.01638	23781	0.02959	8682	0.01256	14732	0.01413	3148	0.00421	8363	0.01504	26689	0.02553	6719	0.00844	7373	0.00804	40043	0.03073	29395	0.03400	3186	0.00438	17210	0.01491	3441	0.00451	7356	0.01174	16258	0.01980	25762	0.04136	17253	0.01884	10814	0.01304
Eubacteriales	186802	O	32769	0.05098	74059	0.08343	141780	0.17084	121346	0.14291	200617	0.21603	627137	0.43357	145464	0.19209	271259	0.26428	163065	0.24995	230520	0.37423	68836	0.10151	83945	0.10445	159991	0.23152	182972	0.17544	217160	0.29058	64835	0.11660	160917	0.15391	219533	0.27564	370093	0.40335	150797	0.11572	126647	0.14648	172597	0.23725	146110	0.12654	126885	0.16643	130390	0.20808	103597	0.12618	74312	0.11930	133486	0.14576	38765	0.04673
Thermoanaerobacterales	68295	O	85	0.00013	57	0.00006	155	0.00019	297	0.00035	296	0.00032	312	0.00022	131	0.00017	122	0.00012	134	0.00021	188	0.00031	91	0.00013	218	0.00027	110	0.00016	191	0.00018	149	0.00020	74	0.00013	270	0.00026	102	0.00013	199	0.00022	305	0.00023	272	0.00031	173	0.00024	160	0.00014	59	0.00008	81	0.00013	128	0.00016	180	0.00029	145	0.00016	104	0.00013
Halanaerobiales	53433	O	75	0.00012	31	0.00003	114	0.00014	64	0.00008	189	0.00020	190	0.00013	97	0.00013	65	0.00006	42	0.00006	50	0.00008	39	0.00006	83	0.00010	37	0.00005	79	0.00008	32	0.00004	24	0.00004	69	0.00007	92	0.00012	42	0.00005	125	0.00010	125	0.00014	39	0.00005	79	0.00007	51	0.00007	68	0.00011	92	0.00011	133	0.00021	82	0.00009	75	0.00009
Moorellales	3039167	O	16	0.00002	0	0.00000	33	0.00004	14	0.00002	63	0.00007	61	0.00004	19	0.00003	40	0.00004	10	0.00002	41	0.00007	30	0.00004	50	0.00006	14	0.00002	38	0.00004	17	0.00002	13	0.00002	17	0.00002	24	0.00003	19	0.00002	46	0.00004	56	0.00006	17	0.00002	23	0.00002	22	0.00003	23	0.00004	26	0.00003	24	0.00004	23	0.00003	48	0.00006
Erysipelotrichales	526525	O	330	0.00051	599	0.00067	1201	0.00145	736	0.00087	1236	0.00133	2772	0.00192	676	0.00089	860	0.00084	521	0.00080	945	0.00153	447	0.00066	738	0.00092	651	0.00094	1014	0.00097	2326	0.00311	653	0.00117	705	0.00067	789	0.00099	4666	0.00509	1916	0.00147	1268	0.00147	1645	0.00226	948	0.00082	601	0.00079	1219	0.00195	779	0.00095	977	0.00157	783	0.00085	742	0.00089
Tissierellales	1737405	O	145	0.00023	158	0.00018	345	0.00042	316	0.00037	1015	0.00109	1008	0.00070	398	0.00053	303	0.00030	202	0.00031	410	0.00067	313	0.00046	372	0.00046	295	0.00043	835	0.00080	224	0.00030	201	0.00036	262	0.00025	245	0.00031	614	0.00067	771	0.00059	1243	0.00144	176	0.00024	269	0.00023	68	0.00009	336	0.00054	371	0.00045	623	0.00100	250	0.00027	259	0.00031
Micrococcales	85006	O	1778	0.00277	2828	0.00319	2932	0.00353	4345	0.00512	2918	0.00314	3983	0.00275	1366	0.00180	2612	0.00254	2972	0.00456	1829	0.00297	3423	0.00505	3964	0.00493	1615	0.00234	2348	0.00225	706	0.00094	5974	0.01074	5718	0.00547	1975	0.00248	3514	0.00383	9532	0.00731	6216	0.00719	1220	0.00168	3037	0.00263	718	0.00094	2023	0.00323	4570	0.00557	4359	0.00700	4164	0.00455	2859	0.00345
Kitasatosporales	85011	O	1462	0.00227	435	0.00049	1646	0.00198	1181	0.00139	1655	0.00178	2271	0.00157	663	0.00088	1120	0.00109	276	0.00042	906	0.00147	890	0.00131	1484	0.00185	700	0.00101	1423	0.00136	480	0.00064	477	0.00086	687	0.00066	688	0.00086	521	0.00057	1637	0.00126	2462	0.00285	636	0.00087	812	0.00070	348	0.00046	750	0.00120	811	0.00099	779	0.00125	823	0.00090	1092	0.00132
Mycobacteriales	85007	O	1042	0.00162	687	0.00077	1458	0.00176	1404	0.00165	2498	0.00269	4051	0.00280	1201	0.00159	1604	0.00156	487	0.00075	1187	0.00193	1095	0.00161	1783	0.00222	947	0.00137	1883	0.00181	554	0.00074	637	0.00115	1118	0.00107	934	0.00117	868	0.00095	2713	0.00208	3430	0.00397	712	0.00098	1226	0.00106	313	0.00041	1003	0.00160	1263	0.00154	1350	0.00217	1393	0.00152	1298	0.00156
Bifidobacteriales	85004	O	467	0.00073	116	0.00013	551	0.00066	884	0.00104	615	0.00066	820	0.00057	271	0.00036	1235	0.00120	242	0.00037	433	0.00070	264	0.00039	623	0.00078	239	0.00035	507	0.00049	157	0.00021	141	0.00025	331	0.00032	251	0.00032	227	0.00025	581	0.00045	681	0.00079	367	0.00050	293	0.00025	123	0.00016	276	0.00044	403	0.00049	303	0.00049	351	0.00038	764	0.00092
Propionibacteriales	85009	O	407	0.00063	169	0.00019	563	0.00068	519	0.00061	633	0.00068	845	0.00058	256	0.00034	431	0.00042	197	0.00030	364	0.00059	384	0.00057	603	0.00075	264	0.00038	521	0.00050	247	0.00033	247	0.00044	278	0.00027	270	0.00034	398	0.00043	713	0.00055	843	0.00097	397	0.00055	308	0.00027	160	0.00021	435	0.00069	649	0.00079	400	0.00064	402	0.00044	432	0.00052
Pseudonocardiales	85010	O	286	0.00044	91	0.00010	421	0.00051	221	0.00026	364	0.00039	538	0.00037	186	0.00025	321	0.00031	56	0.00009	233	0.00038	199	0.00029	349	0.00043	136	0.00020	377	0.00036	117	0.00016	130	0.00023	168	0.00016	188	0.00024	128	0.00014	358	0.00027	595	0.00069	162	0.00022	177	0.00015	93	0.00012	228	0.00036	173	0.00021	151	0.00024	199	0.00022	258	0.00031
Actinomycetales	2037	O	287	0.00045	216	0.00024	392	0.00047	941	0.00111	486	0.00052	465	0.00032	158	0.00021	369	0.00036	91	0.00014	451	0.00073	616	0.00091	317	0.00039	176	0.00025	374	0.00036	559	0.00075	121	0.00022	193	0.00018	135	0.00017	147	0.00016	463	0.00036	444	0.00051	404	0.00056	315	0.00027	294	0.00039	242	0.00039	212	0.00026	294	0.00047	238	0.00026	752	0.00091
Micromonosporales	85008	O	224	0.00035	71	0.00008	322	0.00039	257	0.00030	323	0.00035	514	0.00036	162	0.00021	253	0.00025	73	0.00011	176	0.00029	206	0.00030	255	0.00032	99	0.00014	290	0.00028	88	0.00012	84	0.00015	107	0.00010	130	0.00016	126	0.00014	244	0.00019	586	0.00068	129	0.00018	160	0.00014	47	0.00006	134	0.00021	158	0.00019	107	0.00017	160	0.00017	241	0.00029
Streptosporangiales	85012	O	144	0.00022	51	0.00006	205	0.00025	177	0.00021	217	0.00023	266	0.00018	77	0.00010	126	0.00012	35	0.00005	111	0.00018	126	0.00019	185	0.00023	60	0.00009	203	0.00019	76	0.00010	80	0.00014	82	0.00008	109	0.00014	85	0.00009	248	0.00019	315	0.00036	77	0.00011	92	0.00008	35	0.00005	100	0.00016	170	0.00021	117	0.00019	122	0.00013	118	0.00014
Frankiales	85013	O	35	0.00005	0	0.00000	32	0.00004	16	0.00002	20	0.00002	37	0.00003	0	0.00000	30	0.00003	0	0.00000	21	0.00003	16	0.00002	21	0.00003	0	0.00000	24	0.00002	0	0.00000	0	0.00000	0	0.00000	15	0.00002	0	0.00000	14	0.00001	32	0.00004	0	0.00000	15	0.00001	0	0.00000	0	0.00000	38	0.00005	0	0.00000	0	0.00000	0	0.00000
Geodermatophilales	1643682	O	21	0.00003	20	0.00002	25	0.00003	37	0.00004	123	0.00013	110	0.00008	12	0.00002	10	0.00001	46	0.00007	19	0.00003	21	0.00003	25	0.00003	19	0.00003	31	0.00003	11	0.00001	0	0.00000	69	0.00007	48	0.00006	35	0.00004	45	0.00003	54	0.00006	24	0.00003	11	0.00001	10	0.00001	12	0.00002	55	0.00007	72	0.00012	59	0.00006	10	0.00001
Jiangellales	1217098	O	15	0.00002	0	0.00000	16	0.00002	15	0.00002	0	0.00000	0	0.00000	0	0.00000	18	0.00002	0	0.00000	0	0.00000	0	0.00000	25	0.00003	11	0.00002	10	0.00001	0	0.00000	0	0.00000	0	0.00000	16	0.00002	0	0.00000	17	0.00001	13	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00002	0	0.00000	0	0.00000	16	0.00002
Sporichthyales	2495578	O	44	0.00007	0	0.00000	0	0.00000	0	0.00000	86	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Glycomycetales	85014	O	10	0.00002	0	0.00000	16	0.00002	0	0.00000	0	0.00000	16	0.00001	0	0.00000	27	0.00003	0	0.00000	0	0.00000	0	0.00000	27	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00001	0	0.00000	0	0.00000	13	0.00001	35	0.00004	0	0.00000	0	0.00000	0	0.00000	21	0.00003	14	0.00002	0	0.00000	0	0.00000	11	0.00001
Coriobacteriales	84999	O	1881	0.00293	1010	0.00114	5673	0.00684	2200	0.00259	1142	0.00123	3807	0.00263	1018	0.00134	1802	0.00176	927	0.00142	1046	0.00170	1291	0.00190	643	0.00080	1215	0.00176	1270	0.00122	12199	0.01632	1804	0.00324	488	0.00047	736	0.00092	2392	0.00261	1630	0.00125	1933	0.00224	28036	0.03854	1253	0.00109	4664	0.00612	946	0.00151	713	0.00087	733	0.00118	816	0.00089	6362	0.00767
Eggerthellales	1643822	O	213	0.00033	161	0.00018	453	0.00055	336	0.00040	487	0.00052	772	0.00053	221	0.00029	300	0.00029	157	0.00024	286	0.00046	248	0.00037	380	0.00047	248	0.00036	517	0.00050	281	0.00038	168	0.00030	224	0.00021	257	0.00032	347	0.00038	468	0.00036	558	0.00065	860	0.00118	231	0.00020	88	0.00012	187	0.00030	262	0.00032	255	0.00041	212	0.00023	313	0.00038
Solirubrobacterales	588673	O	71	0.00011	32	0.00004	61	0.00007	23	0.00003	94	0.00010	116	0.00008	58	0.00008	84	0.00008	41	0.00006	66	0.00011	30	0.00004	57	0.00007	26	0.00004	46	0.00004	16	0.00002	46	0.00008	22	0.00002	44	0.00006	74	0.00008	37	0.00003	147	0.00017	38	0.00005	37	0.00003	0	0.00000	72	0.00011	45	0.00005	75	0.00012	37	0.00004	24	0.00003
Miltoncostaeales	2843198	O	26	0.00004	0	0.00000	0	0.00000	10	0.00001	0	0.00000	15	0.00001	14	0.00002	0	0.00000	0	0.00000	13	0.00002	15	0.00002	0	0.00000	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	11	0.00001	10	0.00001	20	0.00002	42	0.00005	11	0.00002	0	0.00000	0	0.00000	15	0.00002	0	0.00000	25	0.00004	0	0.00000	22	0.00003
