name	taxonomy_id	taxonomy_lvl	2827.bracken_num	2827.bracken_frac	2828.bracken_num	2828.bracken_frac	2830.bracken_num	2830.bracken_frac	2831.bracken_num	2831.bracken_frac	2832.bracken_num	2832.bracken_frac	2833.bracken_num	2833.bracken_frac	2834.bracken_num	2834.bracken_frac	2836.bracken_num	2836.bracken_frac	2837.bracken_num	2837.bracken_frac	2839.bracken_num	2839.bracken_frac	2840.bracken_num	2840.bracken_frac	2841.bracken_num	2841.bracken_frac	2842.bracken_num	2842.bracken_frac	2845.bracken_num	2845.bracken_frac	2846.bracken_num	2846.bracken_frac	2847.bracken_num	2847.bracken_frac	2850.bracken_num	2850.bracken_frac	2853.bracken_num	2853.bracken_frac	2854.bracken_num	2854.bracken_frac	2855.bracken_num	2855.bracken_frac	2857.bracken_num	2857.bracken_frac	2858.bracken_num	2858.bracken_frac	2859.bracken_num	2859.bracken_frac	2862.bracken_num	2862.bracken_frac	2866.bracken_num	2866.bracken_frac	2867.bracken_num	2867.bracken_frac	2870.bracken_num	2870.bracken_frac	2871.bracken_num	2871.bracken_frac	2872.bracken_num	2872.bracken_frac
Bacillota	1239	P	501854	0.78037	792309	0.89172	656503	0.79071	623707	0.73368	695264	0.74823	1151386	0.79568	686184	0.90555	637886	0.62122	527271	0.80787	503596	0.81693	602505	0.88811	730278	0.90818	633296	0.91588	770447	0.73847	460691	0.61605	467623	0.84026	976748	0.93396	606603	0.76127	781713	0.85168	1202477	0.92253	765722	0.88519	465962	0.64012	1065310	0.92081	649797	0.85206	457946	0.73036	661738	0.80560	576491	0.92484	855726	0.93405	588861	0.70961
Actinomycetota	201174	P	8570	0.01333	6046	0.00680	15116	0.01821	12810	0.01507	12168	0.01310	18945	0.01309	5796	0.00765	10546	0.01027	5686	0.00871	7319	0.01187	9085	0.01339	10996	0.01367	5889	0.00852	10076	0.00966	15611	0.02088	10014	0.01799	9695	0.00927	5973	0.00750	9016	0.00982	19157	0.01470	18749	0.02167	33189	0.04559	8249	0.00713	7177	0.00941	6619	0.01056	9776	0.01190	9254	0.01485	9257	0.01010	15156	0.01826
Cyanobacteriota	1117	P	305	0.00047	702	0.00079	645	0.00078	549	0.00065	1126	0.00121	4784	0.00331	517	0.00068	2353	0.00229	749	0.00115	515	0.00084	383	0.00056	2418	0.00301	947	0.00137	850	0.00081	1037	0.00139	329	0.00059	1368	0.00131	1081	0.00136	958	0.00104	1797	0.00138	1276	0.00148	474	0.00065	702	0.00061	960	0.00126	1127	0.00180	1225	0.00149	904	0.00145	1159	0.00127	442	0.00053
Chloroflexota	200795	P	93	0.00014	762	0.00086	497	0.00060	1472	0.00173	990	0.00107	1006	0.00070	328	0.00043	831	0.00081	584	0.00089	395	0.00064	893	0.00132	1239	0.00154	390	0.00056	619	0.00059	163	0.00022	1173	0.00211	1638	0.00157	381	0.00048	783	0.00085	2797	0.00215	1530	0.00177	175	0.00024	992	0.00086	340	0.00045	553	0.00088	796	0.00097	1338	0.00215	1345	0.00147	714	0.00086
Deinococcota	1297	P	91	0.00014	323	0.00036	367	0.00044	536	0.00063	528	0.00057	766	0.00053	332	0.00044	391	0.00038	108	0.00017	382	0.00062	731	0.00108	641	0.00080	489	0.00071	587	0.00056	72	0.00010	248	0.00045	595	0.00057	282	0.00035	330	0.00036	1076	0.00083	956	0.00111	89	0.00012	396	0.00034	190	0.00025	325	0.00052	606	0.00074	907	0.00146	1116	0.00122	322	0.00039
Mycoplasmatota	544448	P	46	0.00007	499	0.00056	475	0.00057	625	0.00074	1334	0.00144	2159	0.00149	702	0.00093	958	0.00093	290	0.00044	590	0.00096	653	0.00096	2089	0.00260	604	0.00087	822	0.00079	347	0.00046	453	0.00081	1161	0.00111	354	0.00044	716	0.00078	2387	0.00183	1785	0.00206	570	0.00078	749	0.00065	191	0.00025	724	0.00115	1338	0.00163	1552	0.00249	1166	0.00127	439	0.00053
Thermomicrobiota	3027942	P	11	0.00002	0	0.00000	14	0.00002	0	0.00000	10	0.00001	11	0.00001	0	0.00000	19	0.00002	0	0.00000	0	0.00000	22	0.00003	16	0.00002	0	0.00000	10	0.00001	0	0.00000	0	0.00000	14	0.00001	14	0.00002	0	0.00000	27	0.00002	39	0.00005	0	0.00000	15	0.00001	0	0.00000	0	0.00000	16	0.00002	18	0.00003	15	0.00002	0	0.00000
Bacteroidota	976	P	105838	0.16458	82798	0.09319	134718	0.16226	198745	0.23379	170910	0.18393	231391	0.15991	56849	0.07502	359381	0.34999	114171	0.17493	94717	0.15365	61553	0.09073	52379	0.06514	43457	0.06285	242749	0.23267	243839	0.32607	73912	0.13281	51992	0.04971	145999	0.18322	117663	0.12819	67463	0.05176	67996	0.07860	211824	0.29100	55406	0.04789	97249	0.12752	147984	0.23601	134930	0.16426	28543	0.04579	42498	0.04639	215722	0.25996
Chlorobiota	1090	P	55	0.00009	0	0.00000	53	0.00006	25	0.00003	76	0.00008	228	0.00016	18	0.00002	50	0.00005	16	0.00002	46	0.00007	0	0.00000	0	0.00000	21	0.00003	72	0.00007	33	0.00004	0	0.00000	0	0.00000	26	0.00003	11	0.00001	0	0.00000	23	0.00003	33	0.00005	0	0.00000	0	0.00000	22	0.00004	15	0.00002	0	0.00000	0	0.00000	34	0.00004
Rhodothermota	1853220	P	37	0.00006	0	0.00000	25	0.00003	0	0.00000	28	0.00003	64	0.00004	0	0.00000	14	0.00001	0	0.00000	12	0.00002	0	0.00000	0	0.00000	0	0.00000	40	0.00004	15	0.00002	0	0.00000	0	0.00000	18	0.00002	0	0.00000	0	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00002
