name	taxonomy_id	taxonomy_lvl	2827.bracken_num	2827.bracken_frac	2828.bracken_num	2828.bracken_frac	2830.bracken_num	2830.bracken_frac	2831.bracken_num	2831.bracken_frac	2832.bracken_num	2832.bracken_frac	2833.bracken_num	2833.bracken_frac	2834.bracken_num	2834.bracken_frac	2836.bracken_num	2836.bracken_frac	2837.bracken_num	2837.bracken_frac	2839.bracken_num	2839.bracken_frac	2840.bracken_num	2840.bracken_frac	2841.bracken_num	2841.bracken_frac	2842.bracken_num	2842.bracken_frac	2845.bracken_num	2845.bracken_frac	2846.bracken_num	2846.bracken_frac	2847.bracken_num	2847.bracken_frac	2850.bracken_num	2850.bracken_frac	2853.bracken_num	2853.bracken_frac	2854.bracken_num	2854.bracken_frac	2855.bracken_num	2855.bracken_frac	2857.bracken_num	2857.bracken_frac	2858.bracken_num	2858.bracken_frac	2859.bracken_num	2859.bracken_frac	2862.bracken_num	2862.bracken_frac	2866.bracken_num	2866.bracken_frac	2867.bracken_num	2867.bracken_frac	2870.bracken_num	2870.bracken_frac	2871.bracken_num	2871.bracken_frac	2872.bracken_num	2872.bracken_frac
Selenomonas ruminantium	971	S	147531	0.23576	19038	0.02164	37990	0.04688	30008	0.03598	5283	0.00585	23632	0.01673	10951	0.01471	11715	0.01161	17412	0.02714	15012	0.02505	10718	0.01605	4314	0.00546	11982	0.01763	18397	0.01799	63784	0.08671	18120	0.03328	20166	0.01957	67803	0.08695	24982	0.02777	5291	0.00413	17048	0.02013	41759	0.05852	121692	0.1065	102144	0.13557	15636	0.02547	27787	0.0346	19546	0.03219	28253	0.03128	83618	0.10264
Selenomonas sputigena	69823	S	17360	0.02774	2059	0.00234	8562	0.01057	5314	0.00637	1235	0.00137	5240	0.00371	2200	0.00296	2301	0.00228	2452	0.00382	2615	0.00436	2232	0.00334	1007	0.00128	1641	0.00241	2052	0.00201	10763	0.01463	941	0.00173	2269	0.0022	10109	0.01296	3516	0.00391	605	0.00047	2423	0.00286	9936	0.01392	14503	0.01269	15869	0.02106	3185	0.00519	4175	0.0052	1880	0.0031	2204	0.00244	13681	0.01679
Selenomonas sp. oral taxon 920	1884263	S	10652	0.01702	1533	0.00174	2660	0.00328	1459	0.00175	459	0.00051	1601	0.00113	601	0.00081	966	0.00096	381	0.00059	1330	0.00222	756	0.00113	629	0.0008	1075	0.00158	1094	0.00107	4740	0.00644	2183	0.00401	1178	0.00114	3262	0.00418	1992	0.00221	123	0.0001	1927	0.00228	3361	0.00471	6227	0.00545	7378	0.00979	1076	0.00175	1519	0.00189	822	0.00135	1459	0.00162	4091	0.00502
Selenomonas sp. oral taxon 126	712528	S	5843	0.00934	1209	0.00137	1605	0.00198	2376	0.00285	236	0.00026	569	0.0004	799	0.00107	1236	0.00123	2515	0.00392	301	0.0005	736	0.0011	208	0.00026	798	0.00117	506	0.00049	3946	0.00536	1180	0.00217	559	0.00054	532	0.00068	697	0.00077	104	0.00008	572	0.00068	3192	0.00447	7030	0.00615	3320	0.00441	595	0.00097	501	0.00062	362	0.0006	1284	0.00142	4430	0.00544
Selenomonas sp. oral taxon 478	712538	S	1329	0.00212	100	0.00011	271	0.00033	93	0.00011	74	0.00008	193	0.00014	78	0.0001	91	0.00009	50	0.00008	139	0.00023	52	0.00008	0	0	62	0.00009	132	0.00013	528	0.00072	71	0.00013	0	0	265	0.00034	0	0	23	0.00002	106	0.00013	365	0.00051	370	0.00032	270	0.00036	135	0.00022	104	0.00013	35	0.00006	88	0.0001	342	0.00042
Selenomonas sp. oral taxon 136	713030	S	816	0.0013	31	0.00004	142	0.00018	71	0.00009	63	0.00007	107	0.00008	75	0.0001	59	0.00006	0	0	68	0.00011	57	0.00009	0	0	52	0.00008	62	0.00006	105	0.00014	65	0.00012	0	0	161	0.00021	74	0.00008	0	0	106	0.00013	116	0.00016	264	0.00023	72	0.0001	95	0.00015	39	0.00005	47	0.00008	111	0.00012	265	0.00033
Selenomonas timonae	2754044	S	8969	0.01433	1014	0.00115	1070	0.00132	3057	0.00367	505	0.00056	1138	0.00081	2424	0.00326	961	0.00095	997	0.00155	759	0.00127	1047	0.00157	0	0	528	0.00078	2342	0.00229	1788	0.00243	553	0.00102	3594	0.00349	8270	0.01061	2174	0.00242	2489	0.00194	1165	0.00138	6416	0.00899	4772	0.00418	702	0.00093	1214	0.00198	3143	0.00391	4537	0.00747	2342	0.00259	5465	0.00671
Selenomonas dianae	135079	S	2189	0.0035	0	0	446	0.00055	105	0.00013	204	0.00023	472	0.00033	125	0.00017	193	0.00019	0	0	213	0.00036	96	0.00014	0	0	160	0.00024	234	0.00023	466	0.00063	208	0.00038	0	0	298	0.00038	161	0.00018	32	0.00002	440	0.00052	296	0.00041	1089	0.00095	262	0.00035	236	0.00038	122	0.00015	48	0.00008	172	0.00019	551	0.00068
Megamonas hypermegale	158847	S	3861	0.00617	981	0.00112	1096	0.00135	694	0.00083	523	0.00058	317	0.00022	258	0.00035	461	0.00046	811	0.00126	278	0.00046	87	0.00013	465	0.00059	693	0.00102	1394	0.00136	3531	0.0048	1992	0.00366	1478	0.00143	741	0.00095	1670	0.00186	121	0.00009	1149	0.00136	2127	0.00298	7725	0.00676	646	0.00086	1030	0.00168	1801	0.00224	959	0.00158	2291	0.00254	630	0.00077
Megamonas funiformis	437897	S	169	0.00027	109	0.00012	67	0.00008	28	0.00003	87	0.0001	28	0.00002	27	0.00004	46	0.00005	44	0.00007	17	0.00003	233	0.00035	216	0.00027	206	0.0003	1039	0.00102	371	0.0005	91	0.00017	259	0.00025	37	0.00005	229	0.00025	78	0.00006	54	0.00006	504	0.00071	1786	0.00156	1440	0.00191	41	0.00007	515	0.00064	381	0.00063	401	0.00044	325	0.0004
