# Pathway,2827_Abundance,2828_Abundance,2830_Abundance,2831_Abundance,2832_Abundance,2833_Abundance,2834_Abundance,2836_Abundance,2837_Abundance,2839_Abundance,2840_Abundance,2841_Abundance,2842_Abundance,2845_Abundance,2846_Abundance,2847_Abundance,2850_Abundance,2853_Abundance,2854_Abundance,2855_Abundance,2857_Abundance,2858_Abundance,2859_Abundance,2862_Abundance,2866_Abundance,2867_Abundance,2870_Abundance,2871_Abundance,2872_Abundance
1CMET2-PWY: folate transformations III (E. coli),7.9401e-05,0.0,4.83362e-05,0.0,9.77961e-05,0.00013421,2.63528e-05,4.07616e-05,2.1599e-05,8.89943e-05,0.0,0.0,4.37628e-05,0.000108643,9.05923e-05,0.0,0.0,0.0,3.59778e-05,0.0,0.0,4.85396e-05,2.7352e-05,3.64325e-05,6.04788e-05,0.0,0.0,0.0,6.21465e-05
ANAEROFRUCAT-PWY: homolactic fermentation,9.79516e-05,4.92319e-05,6.58935e-05,7.19218e-05,0.000176037,2.89391e-05,9.43139e-05,0.000160383,0.00011896,4.10927e-05,7.33225e-05,3.68991e-05,0.000131669,0.00011301,7.65714e-05,0.0,0.0,6.10526e-05,6.86691e-05,4.53966e-05,1.33122e-05,5.35682e-05,4.81236e-05,6.14748e-05,0.000130623,4.43653e-05,0.0,0.000161351,5.68666e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),0.0001238,0.000146635,0.000137321,0.000226306,0.000330646,0.000259582,0.000150373,0.000224294,0.000183149,0.000263397,0.000137572,0.00011839,0.000240091,0.000185225,9.88043e-05,0.000126244,4.68651e-05,0.000117597,0.000105008,0.00011629,4.03841e-05,6.99271e-05,7.43246e-05,0.000108019,0.000286766,0.000161127,2.98268e-05,0.000386383,0.000127843
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0.0,0.0,0.0,0.0,6.52179e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,1.16261e-05,0.0,0.0,0.0,1.35117e-05,0.0,0.0,0.0,0.0,3.3181e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37927e-05,0.0,0.0,0.0,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),0.000146157,4.18617e-05,7.21206e-05,3.69129e-05,0.000158754,0.000268727,0.000106873,0.000190974,0.000119453,0.000259783,0.0,2.41886e-05,7.17721e-05,0.000173686,9.85905e-05,3.14194e-05,0.0,2.7679e-05,0.000110754,3.5121e-05,4.81848e-05,9.46195e-05,4.54585e-05,8.20107e-05,0.000158322,4.02993e-05,0.0,9.92755e-05,0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),0.000121014,3.21071e-05,6.39171e-05,8.51835e-05,0.00018182,0.000267015,9.95837e-05,0.000181194,0.000132281,0.000236765,0.0,3.77325e-05,7.59837e-05,0.000162615,8.63197e-05,4.43033e-05,0.0,1.59092e-05,9.71383e-05,4.25927e-05,5.31012e-05,6.81167e-05,4.24783e-05,8.34433e-05,0.000144268,2.89064e-05,0.0,9.766e-05,0.0
ARO-PWY: chorismate biosynthesis I,0.000153879,0.0,4.09327e-05,6.21538e-05,7.56233e-05,0.000169733,7.75676e-05,0.000132947,0.000106191,0.000174179,8.62194e-05,2.48679e-05,3.81622e-05,0.000208565,0.00012395,2.32722e-05,0.0,4.83114e-05,7.67265e-05,5.79357e-06,1.86074e-05,7.0497e-05,3.81817e-05,6.49986e-05,0.000107888,3.28359e-05,0.0,6.09293e-05,4.87489e-05
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,5.96886e-05,9.82749e-05,0.000168246,2.34648e-05,0.000113755,7.47172e-05,1.49249e-05,5.52709e-05,2.94161e-05,5.69109e-05,5.09958e-05,8.11612e-06,4.52763e-05,0.000101669,4.42557e-05,3.54536e-05,9.57987e-05,2.43809e-05,2.68596e-05,1.27007e-05,2.17009e-05,3.35317e-05,4.40703e-05,0.000103328,5.06525e-05,4.11759e-05,2.94552e-05,2.03326e-05,5.28752e-05
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,0.0,0.0,0.0,0.0,2.66802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,0.000118444,2.2417e-05,7.91772e-05,9.70278e-05,0.00018196,0.000227145,8.39229e-05,0.000205009,0.000115598,0.000230161,3.58873e-05,3.90288e-05,6.63085e-05,0.000262405,0.000107752,3.29906e-05,0.0,5.98331e-05,6.26869e-05,2.78949e-05,5.33775e-05,0.000119623,5.51005e-05,0.00010151,0.000134441,5.92328e-05,0.0,9.92712e-05,0.000113478
CALVIN-PWY: Calvin-Benson-Bassham cycle,0.000115468,3.39776e-05,4.57714e-05,0.0,0.000135446,0.000207366,8.26208e-05,3.08303e-05,0.0,1.87174e-05,9.36486e-05,0.0,3.07465e-05,8.82999e-05,5.7515e-05,0.0,0.0,3.32176e-05,6.50279e-05,1.48107e-05,2.11943e-05,9.08193e-05,8.66906e-05,0.000114594,0.000106046,2.29459e-05,0.0,0.0,7.57175e-05
CENTFERM-PWY: pyruvate fermentation to butanoate,0.0,0.0,0.0,0.0,6.22271e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24472e-06,0.0,0.0,1.05717e-05,0.0,0.0,0.0,0.0,0.0
CITRULBIO-PWY: L-citrulline biosynthesis,1.69503e-05,0.0,0.0,0.0,2.00794e-05,2.24478e-05,0.0,0.0,0.0,4.77914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86458e-05,0.0,0.0,0.0,0.0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),8.28799e-05,0.000291688,0.000107331,0.000177553,0.000195955,0.000214207,0.000126524,0.000144397,0.000127507,0.000209885,0.000231753,0.000195218,0.000200142,0.000253097,0.000131837,0.000207058,5.11651e-05,0.000114286,7.82178e-05,0.000167442,0.000135347,4.82424e-05,5.28081e-05,0.000169768,0.000254851,0.000187744,1.85774e-05,0.000203076,0.000110989
COA-PWY: coenzyme A biosynthesis I (prokaryotic),0.000108557,0.000373458,0.000103144,0.000173119,0.00018272,0.000191626,0.000120619,0.000139561,0.000125383,0.000274045,0.000283499,0.000242351,0.000186102,0.000242188,0.00015405,0.000195191,4.49488e-05,0.000105858,7.58813e-05,0.000176939,0.000121899,4.65007e-05,9.51406e-05,0.000156642,0.00026683,0.000205571,5.33182e-05,0.00023552,0.000108238
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,0.0,0.0,0.0,0.0,1.40377e-05,8.30776e-06,1.85201e-05,2.08685e-05,0.0,1.33584e-05,0.0,0.0,0.0,4.96173e-05,2.97329e-05,0.0,0.0,0.0,9.60277e-06,1.52066e-05,0.0,3.05022e-05,6.24051e-06,0.0,1.67211e-05,1.04531e-05,0.0,1.92319e-05,0.0
COLANSYN-PWY: colanic acid building blocks biosynthesis,1.95461e-05,0.0,1.2246e-05,0.0,2.98694e-05,3.87945e-05,1.80347e-05,0.0,0.0,8.45986e-05,0.0,0.0,0.0,6.27671e-05,4.68471e-05,0.0,0.0,0.0,4.47783e-05,0.0,0.0,1.26365e-05,4.99258e-06,0.0,0.0,0.0,0.0,2.34578e-05,0.0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,0.00012619,0.0,4.14047e-05,5.0681e-05,7.54371e-05,0.000175744,6.7274e-05,0.000137247,8.18087e-05,0.000135777,9.07063e-05,0.0,3.03692e-05,0.000205492,0.000111133,0.0,0.0,5.13309e-05,4.62423e-05,6.27286e-06,0.0,6.07639e-05,3.51601e-05,4.76216e-05,0.000107673,2.8063e-05,0.0,5.37244e-05,0.0
DAPLYSINESYN-PWY: L-lysine biosynthesis I,2.62614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,0.000157856,0.000577184,0.000151553,0.000275938,0.000309086,0.000285295,0.000149603,0.000343928,0.000253855,0.000340374,0.000753873,0.000260704,0.000212748,0.000360869,0.000107152,0.000106977,6.63915e-05,0.000127531,0.000106038,0.000223759,0.00015575,0.000124092,7.20297e-05,0.000184187,0.000381965,0.000166436,6.98286e-05,0.00024145,0.000243474
FAO-PWY: fatty acid &beta;-oxidation I (generic),0.0,0.0,0.0,0.0,5.6381e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
